Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Date_only,Daily_Return,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,log_momentum,score,score_bert,score_topic_vader,score_topic_bert,n_tweets
2021-10-27,149.36000061035156,149.72999572753906,148.49000549316406,148.85000610351562,147.77542114257812,56094900,AAPL,2021-10-27,-0.0031476104851951847,149.0,144.79849853515626,2.030718245506222,3.502950363074528,151.80439926130532,137.7925978090072,145.8189087123063,0.0,-0.03313571428571428,-0.009908301755785966,0.16337523370716783,-0.030895913618348817,14.0
2021-10-28,149.82000732421875,153.1699981689453,149.72000122070312,152.57000732421875,151.46856689453125,100077900,AAPL,2021-10-28,0.02499160946030532,149.5442875453404,145.35199890136718,2.3112876877350743,3.8150089110832734,152.98201672353372,137.72198107920065,146.4618704848694,1.551809058220974,0.02687586206896552,-0.1965145281323328,0.1269749716549523,-0.01805893973974145,29.0
2021-10-29,147.22000122070312,149.94000244140625,146.41000366210938,149.8000030517578,148.71856689453125,124953200,AAPL,2021-10-29,-0.0181556278395828,149.6214316231864,145.70949935913086,2.28379858868405,3.8828865088441007,153.47527237681905,137.94372634144267,146.7797878721921,0.0,0.2265933333333333,0.07164452280849216,0.14166364080858113,7.6680441319076e-05,30.0
2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,147.8846435546875,74588300,AAPL,2021-11-01,-0.005607452074619768,149.5471474783761,146.20049972534179,2.169227095650683,3.620447676538356,153.4413950784185,138.95960437226506,146.98742776187544,0.0,0.2484666666666667,0.13606754711104763,0.12005922272843549,-0.027290053688196186,9.0
2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,148.93698120117188,69122000,AAPL,2021-11-02,0.007115987586049588,149.73714773995536,146.64599990844727,2.1393007784821805,3.5075198290717253,153.66103956659072,139.63096025030381,147.2762445724074,0.7227047976521224,0.23736923076923075,0.03532498723898942,0.13674618038466552,0.0029196260512945093,13.0
2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,150.3963623046875,54511500,AAPL,2021-11-03,0.009798701365408391,150.144291469029,147.12050018310546,2.2087397922839216,3.4877777302562505,154.09605564361797,140.14494472259295,147.677555136289,0.9042186448515552,0.0363,-0.1655718027614057,0.16571965868604535,-0.0021743511907310422,6.0
2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,149.8701934814453,60394600,AAPL,2021-11-04,-0.003498572579567205,150.37857709612166,147.50400085449218,2.195693649281168,3.4660370851015316,154.43607502469524,140.5719266842891,147.99016957224882,0.0,0.09807272727272727,-0.18885803112590854,0.19179687752955782,-0.013837091663322037,11.0
2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,150.40707397460938,65463900,AAPL,2021-11-05,0.0021197141706292832,150.72571890694755,147.92300109863282,2.185976594891258,3.3857666829618123,154.69453446455645,141.1514677327092,148.30348663958674,0.2776257255420976,0.13852222222222224,0.07541959525810343,0.12741438182050177,-0.023187962049098645,9.0
2021-11-08,151.41000366210938,151.57000732421875,150.16000366210938,150.44000244140625,149.57191467285156,55020900,AAPL,2021-11-08,-0.005552593499925207,150.4214324951172,148.30450134277345,2.0864438490287966,3.204327225808668,154.7131557943908,141.8958468911561,148.50696433499812,0.0,0.2710153846153846,0.08364135614381385,0.17256876857402517,-0.02669879087862245,13.0
2021-11-09,150.1999969482422,151.42999267578125,150.05999755859375,150.80999755859375,149.93978881835938,56787900,AAPL,2021-11-09,0.0024594197765426262,150.56571742466517,148.76950149536134,2.0142004951056265,2.8179334695451104,154.40536843445156,143.13363455627112,148.72630083248342,0.3148071757369668,0.207645,0.055319573823362556,0.16273773108913847,-0.027156010259170738,20.0
