Model,n_stocks,n_rows,RMSE_mean,RMSE_std,MAE_mean,R2_mean,MAPE_mean
LSTM,25,125,5.708986095727297,4.142643532013236,4.657438219070435,0.023856310279410986,3.9877379150092143
CNN-LSTM,25,125,6.328728764727873,4.573215788440247,5.194916784667968,-0.46003343517263756,4.665607566809748
CNN,25,125,8.26198464621057,6.168002403610609,6.799550313186646,-1.0040956584789917,5.667339698264361
