Stock,no_scores,only_score,only_score_bert,score_plus_topic_vader,score_bert_plus_topic_bert
AAPL,4.462185718016946,4.486256633585371,6.196657448584067,4.544403010200932,5.313054116680572
AMD,5.765471640343273,6.218473537150018,7.14834554443199,5.851713130268219,6.898408121130355
AMZN,6.175051479014909,6.041006773821562,6.239300389576248,5.432430078106029,6.368587857209747
BA,6.3348448360001335,10.671428300674231,5.86955086910226,4.337853645748067,5.545800939773489
BX,5.7571632540777795,4.787604302340179,6.258121629796562,5.656260521045379,6.186918638998611
COST,13.664928326203727,13.754885991314147,14.958575937925929,17.17310539101944,16.129545606614062
CRM,11.430024736002766,9.24379505367752,12.201062280105797,13.721699781289788,9.263741301351653
DIS,5.491703660922805,5.00373686122354,5.3154179150300225,4.819726007788797,4.607908673882497
ENPH,22.901096906639243,21.51578052706681,21.605989656335584,20.94224723702104,18.598343536746714
F,1.0281019367150073,0.9183020552250705,0.8219629590737519,0.731349265489472,0.8025922832175412
GOOG,9.243299800434361,6.783243727508654,7.514702511855674,7.578444969241496,5.251824824124929
INTC,1.5932403180554242,3.0651418666745984,4.678370459116325,2.158016668357252,0.9550153076687317
KO,1.1159319137494186,1.4500943778282143,1.3598564641801358,1.5912665921099425,1.155744685243417
META,12.706514648144204,20.109760708296932,14.340858069495738,16.234609438220026,13.803672420315056
MSFT,14.245011933363505,11.52625549092992,9.713615200348434,10.49622309155786,13.287968173313484
NFLX,17.97273641697214,18.661092488532127,16.36729565650764,22.985891896801746,16.981014061113505
NIO,1.726531679975186,1.5388754878613848,1.656565543326113,2.0506548231930375,2.1264538131915205
NOC,13.088655331856751,11.55007534113964,14.445283580691976,8.944238797340356,12.7669193861412
PG,2.5762110939256484,2.6954758409128536,2.3060605621546015,3.3073452603571964,3.230307463699282
PYPL,4.260851164163006,8.080775801521218,8.608599784615523,5.770463589202502,7.6092076151213375
TSLA,12.355152829194806,12.407990958416152,15.959349635539835,11.278988474446473,19.088651992096217
TSM,5.77255868546362,4.051507130612124,4.449965696235727,4.722047907891576,4.338251272968487
VZ,1.5851542350369334,1.0192785249633418,1.2185316345374824,2.568312552180611,0.9920764527058893
XPEV,2.6537890251501626,2.583945699671552,4.325115138379784,4.3987916488676415,2.6592595005424817
ZS,17.488626672695887,17.331714950092575,20.707180404234684,19.521563160123318,20.811494150262966
