Variant,n_stocks,n_rows,RMSE_mean,RMSE_std,MAE_mean,R2_mean,MAPE_mean
only_score_bert,25,75,6.603403311324736,4.957996568044693,5.490262432098389,-0.4585660354725864,4.7702471358840866
no_scores,25,75,6.614457706737623,4.947873783602742,5.41605340385437,-0.44203608470203826,4.673519476948745
only_score,25,75,6.808999805956437,5.213955860184847,5.572187731424967,-0.3828449662146223,4.675720687600186
score_bert_plus_topic_bert,25,75,6.818248808708462,5.161900555231197,5.5514259668985995,-0.410456399045132,4.73313581144465
score_plus_topic_vader,25,75,6.987722878382307,5.526742018768082,5.723245993932088,-0.7065511535193182,5.015185521594537
