Stock,no_scores,only_score,only_score_bert,score_plus_topic_vader,score_bert_plus_topic_bert
AAPL,3.5899177384742353,4.95677779923876,3.424486448171023,3.5372347908443236,3.7173280422045423
AMD,3.2681350619889544,4.529603220743181,4.603006168765551,3.570635391313244,4.051278423256479
AMZN,4.757301644993578,4.499309933761797,5.404996803905751,4.431337023203072,4.824480103981362
BA,5.501482756571104,8.062278566415172,5.185379787709415,4.4171926253105225,7.9438940316264715
BX,4.506709671904254,4.133037007914284,3.9433609566771275,4.361369262565817,4.461395221809388
COST,11.814042474994583,11.729686353920208,12.197833594933108,12.364834734872703,12.846914585900958
CRM,12.0744625388437,11.838049609626388,5.6156992610874505,12.588206688811177,9.975181406564229
DIS,3.415340087595625,2.667999711886139,3.490850974183753,2.428395829419645,2.857882227219709
ENPH,12.597203388380183,10.398114037408774,12.275659238384598,12.14884649634117,12.771167395000196
F,0.6192977671453743,0.6246515696952302,0.6517972162819521,0.7946924028215294,0.7543126822296659
GOOG,8.308502672839447,4.15628196984922,7.402908580109962,13.506278434220556,6.071918681623938
INTC,3.2738972086409905,2.4258513766648493,3.714554766119307,0.7821742929341577,2.0851381826165047
KO,0.8248169241722324,1.010406044020954,0.8996297693615839,1.1292323482845783,0.8012465493634808
META,8.789555005289534,11.481358185308814,9.927816874038815,12.46987037392968,11.040201254094148
MSFT,11.599398401331733,15.412901497526523,5.709584205273907,14.703966230813458,7.828637130416865
NFLX,10.70152494927976,13.896624500768814,14.894477410114659,18.304914303837318,11.56763916291637
NIO,1.169035757853086,1.3601814955066003,1.236298943440485,1.5226920266555857,1.342239437163983
NOC,12.066254627975368,8.990532638770178,8.708805606882539,8.095958389349242,8.644770295642235
PG,1.6185919203680303,2.149601727136547,2.054167467024619,2.038256261183352,2.547659910280611
PYPL,2.7381250833188244,3.65258508842994,4.242375246535098,3.6682308343461987,5.7829550940560095
TSLA,10.706509491138792,9.022379755275692,11.628324990898932,9.366621799943982,15.20107728325408
TSM,4.3743106572389125,2.879162203002569,4.106759582205296,3.8904709171696314,3.5209299183098994
VZ,1.3555289332373615,1.1309952094009434,0.6691852398478232,0.9274213483590483,0.5291509970255998
XPEV,4.4909078531523745,2.5422404498728377,3.157732992259356,3.7842385355216592,4.87944106951372
ZS,12.55897589766892,13.707890994737065,12.862528869265958,14.658613035989625,13.566021672115808
