Stock,Model,Variant,Delta_RMSE,ModelVariant
COST,CNN-LSTM,only_score,0.08435612107437507,CNN-LSTM | only_score
COST,CNN-LSTM,only_score_bert,-0.3837911199385253,CNN-LSTM | only_score_bert
COST,CNN-LSTM,score_plus_topic_vader,-0.5507922598781203,CNN-LSTM | score_plus_topic_vader
COST,CNN-LSTM,score_bert_plus_topic_bert,-1.032872110906375,CNN-LSTM | score_bert_plus_topic_bert
COST,LSTM,only_score,0.052981540800827176,LSTM | only_score
COST,LSTM,only_score_bert,-0.2934454267613269,LSTM | only_score_bert
COST,LSTM,score_plus_topic_vader,-0.6594890045855486,LSTM | score_plus_topic_vader
COST,LSTM,score_bert_plus_topic_bert,-0.6202578766382683,LSTM | score_bert_plus_topic_bert
CRM,CNN,only_score,2.186229682325246,CNN | only_score
CRM,CNN,only_score_bert,-0.7710375441030308,CNN | only_score_bert
CRM,CNN,score_plus_topic_vader,-2.291675045287022,CNN | score_plus_topic_vader
CRM,CNN,score_bert_plus_topic_bert,2.1662834346511133,CNN | score_bert_plus_topic_bert
CRM,CNN-LSTM,only_score,0.2364129292173125,CNN-LSTM | only_score
CRM,CNN-LSTM,only_score_bert,6.45876327775625,CNN-LSTM | only_score_bert
CRM,CNN-LSTM,score_plus_topic_vader,-0.5137441499674757,CNN-LSTM | score_plus_topic_vader
CRM,CNN-LSTM,score_bert_plus_topic_bert,2.099281132279472,CNN-LSTM | score_bert_plus_topic_bert
CRM,LSTM,only_score,-7.701547157281457,LSTM | only_score
CRM,LSTM,only_score_bert,0.17193179427719052,LSTM | only_score_bert
CRM,LSTM,score_plus_topic_vader,-1.586447601290021,LSTM | score_plus_topic_vader
CRM,LSTM,score_bert_plus_topic_bert,-2.3208693437132677,LSTM | score_bert_plus_topic_bert
DIS,CNN,only_score,0.48796679969926515,CNN | only_score
DIS,CNN,only_score_bert,0.17628574589278223,CNN | only_score_bert
DIS,CNN,score_plus_topic_vader,0.6719776531340074,CNN | score_plus_topic_vader
DIS,CNN,score_bert_plus_topic_bert,0.8837949870403081,CNN | score_bert_plus_topic_bert
DIS,CNN-LSTM,only_score,0.7473403757094861,CNN-LSTM | only_score
DIS,CNN-LSTM,only_score_bert,-0.07551088658812777,CNN-LSTM | only_score_bert
DIS,CNN-LSTM,score_plus_topic_vader,0.98694425817598,CNN-LSTM | score_plus_topic_vader
DIS,CNN-LSTM,score_bert_plus_topic_bert,0.5574578603759162,CNN-LSTM | score_bert_plus_topic_bert
DIS,LSTM,only_score,0.45162882595165454,LSTM | only_score
DIS,LSTM,only_score_bert,0.32649603545015804,LSTM | only_score_bert
DIS,LSTM,score_plus_topic_vader,-0.938881453295676,LSTM | score_plus_topic_vader
DIS,LSTM,score_bert_plus_topic_bert,0.020354769613955437,LSTM | score_bert_plus_topic_bert
ENPH,CNN,only_score,1.3853163795724335,CNN | only_score
ENPH,CNN,only_score_bert,1.2951072503036585,CNN | only_score_bert
ENPH,CNN,score_plus_topic_vader,1.9588496696182034,CNN | score_plus_topic_vader
ENPH,CNN,score_bert_plus_topic_bert,4.302753369892528,CNN | score_bert_plus_topic_bert
ENPH,CNN-LSTM,only_score,2.199089350971409,CNN-LSTM | only_score
ENPH,CNN-LSTM,only_score_bert,0.3215441499955851,CNN-LSTM | only_score_bert
ENPH,CNN-LSTM,score_plus_topic_vader,0.44835689203901374,CNN-LSTM | score_plus_topic_vader
ENPH,CNN-LSTM,score_bert_plus_topic_bert,-0.17396400662001277,CNN-LSTM | score_bert_plus_topic_bert
ENPH,LSTM,only_score,-0.7807806551478649,LSTM | only_score
ENPH,LSTM,only_score_bert,-0.35395109773699573,LSTM | only_score_bert
ENPH,LSTM,score_plus_topic_vader,-1.5486443341581868,LSTM | score_plus_topic_vader
ENPH,LSTM,score_bert_plus_topic_bert,-0.6770909804357856,LSTM | score_bert_plus_topic_bert
F,CNN,only_score,0.1097998814899368,CNN | only_score
F,CNN,only_score_bert,0.20613897764125533,CNN | only_score_bert
F,CNN,score_plus_topic_vader,0.2967526712255353,CNN | score_plus_topic_vader
F,CNN,score_bert_plus_topic_bert,0.2255096534974661,CNN | score_bert_plus_topic_bert
F,CNN-LSTM,only_score,-0.005353802549855846,CNN-LSTM | only_score
F,CNN-LSTM,only_score_bert,-0.03249944913657776,CNN-LSTM | only_score_bert
F,CNN-LSTM,score_plus_topic_vader,-0.1753946356761551,CNN-LSTM | score_plus_topic_vader
F,CNN-LSTM,score_bert_plus_topic_bert,-0.13501491508429153,CNN-LSTM | score_bert_plus_topic_bert
F,LSTM,only_score,0.12495458243047675,LSTM | only_score
F,LSTM,only_score_bert,0.12403731596984446,LSTM | only_score_bert
F,LSTM,score_plus_topic_vader,-0.06194838429197547,LSTM | score_plus_topic_vader
F,LSTM,score_bert_plus_topic_bert,0.11310589106697222,LSTM | score_bert_plus_topic_bert
GOOG,CNN,only_score,2.460056072925707,CNN | only_score
GOOG,CNN,only_score_bert,1.7285972885786869,CNN | only_score_bert
GOOG,CNN,score_plus_topic_vader,1.6648548311928648,CNN | score_plus_topic_vader
GOOG,CNN,score_bert_plus_topic_bert,3.9914749763094317,CNN | score_bert_plus_topic_bert
GOOG,CNN-LSTM,only_score,4.152220702990227,CNN-LSTM | only_score
GOOG,CNN-LSTM,only_score_bert,0.9055940927294852,CNN-LSTM | only_score_bert
GOOG,CNN-LSTM,score_plus_topic_vader,-5.197775761381109,CNN-LSTM | score_plus_topic_vader
GOOG,CNN-LSTM,score_bert_plus_topic_bert,2.236583991215509,CNN-LSTM | score_bert_plus_topic_bert
GOOG,LSTM,only_score,1.5966235272457419,LSTM | only_score
GOOG,LSTM,only_score_bert,-0.17685228606013403,LSTM | only_score_bert
GOOG,LSTM,score_plus_topic_vader,1.5038239409176928,LSTM | score_plus_topic_vader
GOOG,LSTM,score_bert_plus_topic_bert,-4.323208201019657,LSTM | score_bert_plus_topic_bert
INTC,CNN,only_score,-1.4719015486191742,CNN | only_score
INTC,CNN,only_score_bert,-3.0851301410609,CNN | only_score_bert
INTC,CNN,score_plus_topic_vader,-0.5647763503018279,CNN | score_plus_topic_vader
INTC,CNN,score_bert_plus_topic_bert,0.6382250103866925,CNN | score_bert_plus_topic_bert
INTC,CNN-LSTM,only_score,0.8480458319761413,CNN-LSTM | only_score
INTC,CNN-LSTM,only_score_bert,-0.44065755747831625,CNN-LSTM | only_score_bert
INTC,CNN-LSTM,score_plus_topic_vader,2.491722915706833,CNN-LSTM | score_plus_topic_vader
INTC,CNN-LSTM,score_bert_plus_topic_bert,1.1887590260244858,CNN-LSTM | score_bert_plus_topic_bert
INTC,LSTM,only_score,-1.5820297341633005,LSTM | only_score
INTC,LSTM,only_score_bert,0.015991256866805914,LSTM | only_score_bert
INTC,LSTM,score_plus_topic_vader,-0.19299094611524614,LSTM | score_plus_topic_vader
INTC,LSTM,score_bert_plus_topic_bert,-0.055437029027572526,LSTM | score_bert_plus_topic_bert
