Stock,Set,Metric,CNN,CNN(Topic),CNN-LSTM,CNN-LSTM(Topic),LSTM,LSTM(Topic)
BA,Train Set,R2,,,,,0.9758186924879652,0.9698526723084848
BA,Train Set,MAPE,,,,,2.08777407225356,2.2994530238088027
BA,Test Set,RMSE,,,,,5.70923798572367,7.582760976694651
BA,Test Set,MAE,,,,,4.5722591400146495,6.327757644653321
BA,Test Set,R2,,,,,0.7065061311307903,0.4822769837684673
BA,Test Set,MAPE,,,,,3.2852818400455135,4.536701693840408
BX,Train Set,RMSE,2.355981939752081,1.2397060383305025,,,,
BX,Train Set,MAE,1.730351565506657,1.061824441543354,,,,
BX,Train Set,R2,0.9697313285505843,0.9916191729484962,,,,
BX,Train Set,MAPE,1.507256855659581,0.9262581807809377,,,,
BX,Test Set,RMSE,4.820973230877039,6.734463364392186,,,,
BX,Test Set,MAE,3.8951759338378915,5.722035217285155,,,,
BX,Test Set,R2,0.23777154842023052,-0.4873792036349849,,,,
BX,Test Set,MAPE,4.23281118951747,6.1968424269619335,,,,
BX,Train Set,RMSE,,,2.544081630764355,3.033919551106021,,
BX,Train Set,MAE,,,1.9440493278315505,2.447422948376885,,
BX,Train Set,R2,,,0.9647051346138453,0.9498053342345537,,
BX,Train Set,MAPE,,,1.7286267280939083,2.2213891005795703,,
BX,Test Set,RMSE,,,5.718726607099108,4.4446523540853935,,
BX,Test Set,MAE,,,4.967906188964843,3.7154483795166025,,
BX,Test Set,R2,,,-0.07254219138965645,0.352124867462687,,
BX,Test Set,MAPE,,,5.550495243408391,4.161339324484984,,
BX,Train Set,RMSE,,,,,3.444055567435388,3.1417299821986853
BX,Train Set,MAE,,,,,2.622719825782212,2.5448261505277285
BX,Train Set,R2,,,,,0.9353170609316449,0.9461746132947004
BX,Train Set,MAPE,,,,,2.337891945992882,2.291174244000442
BX,Test Set,RMSE,,,,,3.500512597155998,5.183035429787001
BX,Test Set,MAE,,,,,3.0674095153808603,4.21628875732422
BX,Test Set,R2,,,,,0.5981360901547781,0.11898344202610078
BX,Test Set,MAPE,,,,,3.438361441380908,4.821011734115914
COST,Train Set,RMSE,8.398832697317793,4.70128416883401,,,,
COST,Train Set,MAE,6.200168102245613,3.491894200517628,,,,
COST,Train Set,R2,0.9493440089333934,0.9841282080608462,,,,
COST,Train Set,MAPE,1.174873631890108,0.6589347621653002,,,,
COST,Test Set,RMSE,17.28282597612776,19.885654048310343,,,,
COST,Test Set,MAE,13.655802917480463,15.174520874023443,,,,
COST,Test Set,R2,0.3072115892763221,0.08282784879969152,,,,
COST,Test Set,MAPE,2.656046931040705,2.9490000822179017,,,,
COST,Train Set,RMSE,,,8.948618247797182,8.98203338285551,,
COST,Train Set,MAE,,,6.7710324743111165,6.660215481161484,,
COST,Train Set,R2,,,0.942495091265046,0.9420648300001477,,
COST,Train Set,MAPE,,,1.2993483098252991,1.2740006565978634,,
COST,Test Set,RMSE,,,12.157148822835321,11.412529541346947,,
COST,Test Set,MAE,,,10.216975402832025,9.342732238769532,,
COST,Test Set,R2,,,0.6572049307611296,0.697910987534512,,
COST,Test Set,MAPE,,,2.0080537355184678,1.8374418446883374,,
COST,Train Set,RMSE,,,,,9.193286966639485,9.091431093073757
COST,Train Set,MAE,,,,,6.918283246420875,6.767920132341056
COST,Train Set,R2,,,,,0.9393075611437189,0.9406449795686902
COST,Train Set,MAPE,,,,,1.3331480162363556,1.3072112146540769
COST,Test Set,RMSE,,,,,12.111349534673424,13.075996705798547
COST,Test Set,MAE,,,,,9.976782226562495,11.002459716796869
COST,Test Set,R2,,,,,0.6597828703309228,0.6034292259071838
COST,Test Set,MAPE,,,,,1.9575962099311135,2.189693800294389
CRM,Train Set,RMSE,3.479443484828549,1.2332681249701731,,,,
CRM,Train Set,MAE,2.4642788741388926,0.841701639109644,,,,
CRM,Train Set,R2,0.9918162165209631,0.9989718663566239,,,,
CRM,Train Set,MAPE,1.1283365700652512,0.3948345629171902,,,,
CRM,Test Set,RMSE,20.952206965389784,18.942016612343906,,,,
CRM,Test Set,MAE,18.448549652099608,16.338516998291016,,,,
CRM,Test Set,R2,-15.128183540148754,-12.181909711265192,,,,
CRM,Test Set,MAPE,12.116383222460666,10.817104162194752,,,,
CRM,Train Set,RMSE,,,4.291609821347668,4.323967874714214,,
CRM,Train Set,MAE,,,3.50715336541237,3.4478774798914724,,
CRM,Train Set,R2,,,0.9875498375557581,0.987361385297012,,
CRM,Train Set,MAPE,,,1.740138182490763,1.669127377166638,,
CRM,Test Set,RMSE,,,15.75640484905025,24.855266405886525,,
CRM,Test Set,MAE,,,11.803890228271486,17.66419677734375,,
CRM,Test Set,R2,,,-8.120951966818161,-21.696701767953908,,
CRM,Test Set,MAPE,,,7.884993489155219,11.82909064302908,,
CRM,Train Set,RMSE,,,,,4.927486601974376,4.752933200647084
CRM,Train Set,MAE,,,,,3.939823169426377,3.796234657024515
CRM,Train Set,R2,,,,,0.9835870947969384,0.9847293340067924
CRM,Train Set,MAPE,,,,,1.9629135536395774,1.8793662378528233
CRM,Test Set,RMSE,,,,,9.582625630507517,20.00421381894616
CRM,Test Set,MAE,,,,,7.704898834228517,14.68072052001953
CRM,Test Set,R2,,,,,-2.373610577352131,-13.701744882058986
CRM,Test Set,MAPE,,,,,5.1274958837025,9.797259898346502
DIS,Train Set,RMSE,1.9828774097131279,1.623780247486678,,,,
DIS,Train Set,MAE,1.470326541092596,1.1521132896686428,,,,
DIS,Train Set,R2,0.9915936576284502,0.9943627168122368,,,,
DIS,Train Set,MAPE,1.103341504266036,0.8750821176308679,,,,
DIS,Test Set,RMSE,8.47456936362952,8.10354833400441,,,,
DIS,Test Set,MAE,7.854525375366211,6.951431655883789,,,,
DIS,Test Set,R2,-0.8350672343442205,-0.6779041843632168,,,,
DIS,Test Set,MAPE,7.258890309770527,6.331210752792934,,,,
DIS,Train Set,RMSE,,,2.509740574772339,2.175527504528075,,
DIS,Train Set,MAE,,,1.9657340590002501,1.7619079439510847,,
DIS,Train Set,R2,,,0.9865329334059212,0.989880839123622,,
DIS,Train Set,MAPE,,,1.5426379827966263,1.3966673474828606,,
DIS,Test Set,RMSE,,,4.014393592042333,4.4337491998464005,,
DIS,Test Set,MAE,,,3.0565464019775406,3.622388076782228,,
DIS,Test Set,R2,,,0.5882281961682347,0.4977048906422771,,
DIS,Test Set,MAPE,,,2.7735647092875064,3.2816870073907456,,
DIS,Train Set,RMSE,,,,,2.556916888105936,2.540603132142365
DIS,Train Set,MAE,,,,,2.0332999018025513,2.0459497386011583
DIS,Train Set,R2,,,,,0.9860218863538994,0.986199684916403
DIS,Train Set,MAPE,,,,,1.59842698941517,1.6335271322487772
DIS,Test Set,RMSE,,,,,2.7287946340831493,2.937487883011069
DIS,Test Set,MAE,,,,,2.4499900817871065,2.4338161468505817
DIS,Test Set,R2,,,,,0.8097352178314193,0.7795201670859333
DIS,Test Set,MAPE,,,,,2.2999681313895177,2.2428774375305083
ENPH,Train Set,RMSE,6.243302842641257,3.4079411893449385,,,,
ENPH,Train Set,MAE,4.789045737881967,2.1963615229564346,,,,
ENPH,Train Set,R2,0.9822638949660732,0.9947153816093136,,,,
ENPH,Train Set,MAPE,2.4370830688336476,1.128485129303103,,,,
ENPH,Test Set,RMSE,19.43517091044677,20.177301612192156,,,,
ENPH,Test Set,MAE,16.147126770019533,14.773471069335931,,,,
ENPH,Test Set,R2,-0.571730203424649,-0.6940547515901032,,,,
ENPH,Test Set,MAPE,5.435362915691446,4.889199877698658,,,,
ENPH,Train Set,RMSE,,,8.020284578796796,5.856974414915629,,
ENPH,Train Set,MAE,,,6.263921239693176,4.441400349433785,,
ENPH,Train Set,R2,,,0.9707309244685489,0.9843909632735961,,
ENPH,Train Set,MAPE,,,3.3327116637417236,2.3745777053066153,,
ENPH,Test Set,RMSE,,,13.493018217122357,14.294209169671861,,
ENPH,Test Set,MAE,,,10.863908386230468,10.3696792602539,,
ENPH,Test Set,R2,,,0.24243572851127404,0.14979914661848392,,
ENPH,Test Set,MAPE,,,3.6666471294624214,3.423997341107922,,
ENPH,Train Set,RMSE,,,,,8.108867226746922,7.415294519572579
ENPH,Train Set,MAE,,,,,6.414485461606181,5.613302221439155
ENPH,Train Set,R2,,,,,0.9700808102921387,0.9749800603060568
ENPH,Train Set,MAPE,,,,,3.4194247111330496,2.8970190045038255
ENPH,Test Set,RMSE,,,,,27.441454382473253,11.156349391953217
ENPH,Test Set,MAE,,,,,19.77202911376953,8.315745544433582
ENPH,Test Set,R2,,,,,-2.133397703236756,0.4821005085146838
ENPH,Test Set,MAPE,,,,,6.505827150486773,2.7624693071873967
F,Train Set,RMSE,0.3102711670719615,0.32418063315369866,,,,
F,Train Set,MAE,0.22488560700064214,0.2258571803276174,,,,
F,Train Set,R2,0.9908431228939228,0.9900037138561781,,,,
F,Train Set,MAPE,1.3789532182432138,1.374933461231943,,,,
F,Test Set,RMSE,0.9790983804430052,1.0110935245477213,,,,
F,Test Set,MAE,0.9172379970550537,0.9433073997497559,,,,
F,Test Set,R2,0.5081011920521961,0.4754272050673738,,,,
F,Test Set,MAPE,6.8099938844532915,6.736393460175092,,,,
F,Train Set,RMSE,,,0.4368323794922114,0.39865142741610654,,
F,Train Set,MAE,,,0.3364816205254915,0.30133439519722455,,
F,Train Set,R2,,,0.9818492660273078,0.9848835018940185,,
F,Train Set,MAPE,,,2.0896627065498876,1.888126706556386,,
F,Test Set,RMSE,,,0.6367259328761168,0.7281674386347547,,
F,Test Set,MAE,,,0.5602183341979982,0.6443730831146242,,
F,Test Set,R2,,,0.7919689397601584,0.7279268935961585,,
F,Test Set,MAPE,,,3.980468847727651,4.588153790224579,,
F,Train Set,RMSE,,,,,0.4806278940677171,0.5185995896493829
F,Train Set,MAE,,,,,0.3514822504203307,0.4093842060107903
F,Train Set,R2,,,,,0.9780273472904474,0.9744183304522189
F,Train Set,MAPE,,,,,2.2029838883504684,2.5280026716981445
F,Test Set,RMSE,,,,,0.726252681942847,0.5301296177300995
F,Test Set,MAE,,,,,0.6132463932037354,0.4159871101379397
F,Test Set,R2,,,,,0.7293558749955033,0.855792700998848
F,Test Set,MAPE,,,,,4.270150616135675,2.9796016630760414
GOOG,Train Set,RMSE,1.7148910856610537,2.4145676759504084,,,,
GOOG,Train Set,MAE,1.258425670304322,1.9772926292983184,,,,
GOOG,Train Set,R2,0.9837164780143001,0.9677184764001455,,,,
GOOG,Train Set,MAPE,0.9716019341226887,1.5230947986193553,,,,
GOOG,Test Set,RMSE,13.540680138114729,10.221795497240558,,,,
GOOG,Test Set,MAE,11.275082778930662,8.017058563232421,,,,
GOOG,Test Set,R2,-7.4465479700674475,-3.8134079448450082,,,,
GOOG,Test Set,MAPE,11.115753604231553,7.943202493966014,,,,
GOOG,Train Set,RMSE,,,2.0731832716538334,2.0456308923162725,,
GOOG,Train Set,MAE,,,1.6623131136588871,1.5731017389908224,,
GOOG,Train Set,R2,,,0.9762014415654985,0.9768297987223011,,
GOOG,Train Set,MAPE,,,1.307848915834505,1.2310184989434267,,
GOOG,Test Set,RMSE,,,16.102567942444615,16.724642672008823,,
GOOG,Test Set,MAE,,,12.334082412719724,12.303920745849606,,
GOOG,Test Set,R2,,,-10.945066587558047,-11.885817905630814,,
GOOG,Test Set,MAPE,,,12.238274022814373,12.245313587340583,,
GOOG,Train Set,RMSE,,,,,2.2571072827666714,2.2616355762876204
GOOG,Train Set,MAE,,,,,1.7524627159381738,1.8046439410430464
GOOG,Train Set,R2,,,,,0.9717915214071474,0.9716782220469624
GOOG,Train Set,MAPE,,,,,1.3880662017297913,1.418650162683811
GOOG,Test Set,RMSE,,,,,11.292245225228841,11.914242308095483
GOOG,Test Set,MAE,,,,,8.456535339355465,8.771389007568356
GOOG,Test Set,R2,,,,,-4.87433752180405,-5.539298337472073
GOOG,Test Set,MAPE,,,,,8.402858560458034,8.72205546182229
INTC,Train Set,RMSE,0.7772244031931996,0.7586855372541201,,,,
INTC,Train Set,MAE,0.6156205708170177,0.5689791035769608,,,,
INTC,Train Set,R2,0.9798554088944785,0.9808049516298352,,,,
INTC,Train Set,MAPE,1.398208615664555,1.2891358359970837,,,,
INTC,Test Set,RMSE,1.4274696969150313,4.32091462622645,,,,
INTC,Test Set,MAE,1.2311759948730479,3.8352059364318847,,,,
INTC,Test Set,R2,0.23322191209954501,-6.0256622766202295,,,,
INTC,Test Set,MAPE,4.378216150533531,13.672208351956435,,,,
INTC,Train Set,RMSE,,,0.8849241645846627,0.8010302362838683,,
INTC,Train Set,MAE,,,0.6796830088046975,0.6088390632215978,,
INTC,Train Set,R2,,,0.9738857408603718,0.9786024810544413,,
INTC,Train Set,MAPE,,,1.5521835516037774,1.3948880062831526,,
INTC,Test Set,RMSE,,,1.1425919185941826,1.376707981480177,,
INTC,Test Set,MAE,,,0.9775636672973645,1.2402012825012212,,
INTC,Test Set,R2,,,0.5087323186171198,0.2867864936541933,,
INTC,Test Set,MAPE,,,3.50728926824874,4.377584283217496,,
INTC,Train Set,RMSE,,,,,1.0089880972839622,0.9148065729076087
INTC,Train Set,MAE,,,,,0.776620272932382,0.7076276957695119
INTC,Train Set,R2,,,,,0.9660501635502952,0.9720922931035453
INTC,Train Set,MAPE,,,,,1.7691087055061168,1.614467018192528
INTC,Test Set,RMSE,,,,,2.6037058389230747,4.179004184785622
INTC,Test Set,MAE,,,,,2.362667179107666,3.3915074348449705
INTC,Test Set,R2,,,,,-1.5510544743073962,-5.571757213718291
INTC,Test Set,MAPE,,,,,8.43138173774595,12.222484759911067
KO,Train Set,RMSE,0.8154261151664436,0.6446666414150236,,,,
KO,Train Set,MAE,0.5786564267914872,0.46348957005392727,,,,
KO,Train Set,R2,0.9343603248650185,0.9589732054539764,,,,
KO,Train Set,MAPE,0.9634144066688363,0.7677782766382463,,,,
KO,Test Set,RMSE,1.0781557294540687,1.207810574254467,,,,
KO,Test Set,MAE,0.9478988647460955,1.0380607604980487,,,,
KO,Test Set,R2,0.5935511628775559,0.48991735186688745,,,,
KO,Test Set,MAPE,1.6149484496655306,1.7675290972587125,,,,
KO,Train Set,RMSE,,,0.7234833535519306,0.6028953167145051,,
KO,Train Set,MAE,,,0.5257376121182749,0.434430972695938,,
KO,Train Set,R2,,,0.9483281183880017,0.9641176390079078,,
KO,Train Set,MAPE,,,0.8768545242736061,0.7263179470378184,,
KO,Test Set,RMSE,,,0.9061685852526014,1.3021637360301883,,
KO,Test Set,MAE,,,0.7437017440795923,1.1168436050415078,,
KO,Test Set,R2,,,0.7128816831958669,0.407110050881608,,
KO,Test Set,MAPE,,,1.2683465342987912,1.9055858616172348,,
KO,Train Set,RMSE,,,,,0.8090233044907961,0.7070863759358622
KO,Train Set,MAE,,,,,0.6236772960042719,0.5187791720986956
KO,Train Set,R2,,,,,0.93538709692936,0.9506437529635735
KO,Train Set,MAPE,,,,,1.0341326336896561,0.8637890376385944
KO,Test Set,RMSE,,,,,0.7978814031491762,0.7630196690971158
KO,Test Set,MAE,,,,,0.6272130966186527,0.5804943084716807
KO,Test Set,R2,,,,,0.7774028597479283,0.7964297257442368
KO,Test Set,MAPE,,,,,1.0584436260588157,0.9824934878514822
META,Train Set,RMSE,6.490020281883489,7.68323138327421,,,,
META,Train Set,MAE,4.222046950767779,5.415995029393086,,,,
META,Train Set,R2,0.9901553490379009,0.986202638614593,,,,
META,Train Set,MAPE,1.7371228083519157,2.061903591886244,,,,
META,Test Set,RMSE,18.280287724161624,17.603843619450643,,,,
META,Test Set,MAE,15.444223785400391,15.099195861816407,,,,
META,Test Set,R2,-1.8797034556784156,-1.6705254263205953,,,,
