Variant,CNN,CNN-LSTM,LSTM
no_scores,8.055793529684705,6.2687931405758786,5.518786449952286
only_score,8.219859937241589,6.290340037875259,5.916799442752461
only_score_bert,8.570653398847275,5.920328839739122,5.31922769538781
score_plus_topic_vader,8.272705877514728,6.779667375121651,5.910795382510543
score_bert_plus_topic_bert,8.19091048776455,6.38451443032745,5.879321508033384
