Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
AAPL,CNN,no_scores,4.462185718016946,3.688306427001953,-0.22537404187275722,2.409157880706096,233,20
AAPL,CNN,only_score,4.486256633585371,3.737390899658203,-0.23863007090362065,2.43973269085881,233,20
AAPL,CNN,only_score_bert,6.196657448584067,5.012693786621094,-1.363134117907943,3.280544940073355,233,20
AAPL,CNN,score_bert_plus_topic_bert,5.313054116680572,4.0041015625,-0.737248203955343,2.6154351619385814,233,20
AAPL,CNN,score_plus_topic_vader,4.544403010200932,3.521302032470703,-0.2709459164508503,2.31591971890871,233,20
AAPL,CNN-LSTM,no_scores,3.5899177384742353,2.87579345703125,0.20687363586042107,1.870306232965994,233,20
AAPL,CNN-LSTM,only_score,4.95677779923876,3.5768592834472654,-0.5120713833827009,2.33577640115885,233,20
AAPL,CNN-LSTM,only_score_bert,3.424486448171023,2.6404380798339844,0.27828738552580967,1.7117402408213467,233,20
AAPL,CNN-LSTM,score_bert_plus_topic_bert,3.7173280422045423,2.8722862243652343,0.14957666552701354,1.8662515880735802,233,20
AAPL,CNN-LSTM,score_plus_topic_vader,3.5372347908443236,2.8037010192871095,0.2299814843626019,1.8205384866949152,233,20
AAPL,LSTM,no_scores,3.644229313972287,2.9304489135742187,0.18269381236922633,1.9081968525706507,233,20
AAPL,LSTM,only_score,3.28010188772523,2.578710174560547,0.3378626891811637,1.6758349209538868,233,20
AAPL,LSTM,only_score_bert,5.4858091491183005,3.759937286376953,-0.852058845054738,2.4532569454077917,233,20
AAPL,LSTM,score_bert_plus_topic_bert,3.4348089283440446,2.6922088623046876,0.2739298899513176,1.7479354040126287,233,20
AAPL,LSTM,score_plus_topic_vader,4.218264472182873,3.518206024169922,-0.09506778448732378,2.295003211680793,233,20
AMD,CNN,no_scores,5.765471640343273,5.179015731811523,0.13656228069057297,7.0744762950200295,233,20
AMD,CNN,only_score,6.218473537150018,5.493094253540039,-0.0044513746696250855,7.270270645977872,233,20
AMD,CNN,only_score_bert,7.14834554443199,6.789991760253907,-0.327310139075891,9.148533452060214,233,20
AMD,CNN,score_bert_plus_topic_bert,6.898408121130355,5.585491943359375,-0.23611565073512653,7.8055714131068195,233,20
AMD,CNN,score_plus_topic_vader,5.851713130268219,4.489386367797851,0.11053801500138116,5.979583562497076,233,20
AMD,CNN-LSTM,no_scores,3.2681350619889544,2.619952392578125,0.7225649488306369,3.5716435855460222,233,20
AMD,CNN-LSTM,only_score,4.529603220743181,3.7986446380615235,0.4670559007409598,5.26018118751447,233,20
AMD,CNN-LSTM,only_score_bert,4.603006168765551,3.7753658294677734,0.4496430562387397,5.24932612441344,233,20
AMD,CNN-LSTM,score_bert_plus_topic_bert,4.051278423256479,3.142166519165039,0.5736703688348521,4.340957587196394,233,20
AMD,CNN-LSTM,score_plus_topic_vader,3.570635391313244,2.998974609375,0.6688289637276125,4.117696624790085,233,20
AMD,LSTM,no_scores,4.252581958870613,3.7418899536132812,0.5302500730434327,5.122714020051973,233,20
AMD,LSTM,only_score,5.3555882193767275,4.45861587524414,0.25496668768259945,6.230908325473415,233,20
AMD,LSTM,only_score_bert,4.046567970060853,3.43084602355957,0.5746611860957391,4.6708251771404194,233,20
AMD,LSTM,score_bert_plus_topic_bert,3.8887747425906465,3.287619400024414,0.6071860421763515,4.508472658134168,233,20
AMD,LSTM,score_plus_topic_vader,4.106025839271629,3.51116828918457,0.5620700046446083,4.816729209370775,233,20
AMZN,CNN,no_scores,6.175051479014909,5.132793807983398,0.09458919084968398,4.180866010328311,233,20
AMZN,CNN,only_score,6.041006773821562,5.396127700805668,0.13347089298334913,4.359362800600477,233,20
AMZN,CNN,only_score_bert,6.239300389576248,5.34172821044922,0.07565030926385963,4.316434753520343,233,20
AMZN,CNN,score_bert_plus_topic_bert,6.368587857209747,5.215995407104495,0.03694564633402453,4.29671997078688,233,20
AMZN,CNN,score_plus_topic_vader,5.432430078106029,4.429584884643559,0.29926662918857494,3.526157132506807,233,20
AMZN,CNN-LSTM,no_scores,4.757301644993578,4.096382522583012,0.4626145679833771,3.2556845164861445,233,20
AMZN,CNN-LSTM,only_score,4.499309933761797,3.8123832702636755,0.5193196918704592,3.061503893775629,233,20
AMZN,CNN-LSTM,only_score_bert,5.404996803905751,4.874945068359379,0.3063260380334636,3.938798003037375,233,20
