Stock,Set,Metric,CNN-LSTM,CNN-LSTM(Topic)
VZ,Train Set,RMSE,0.5813659160196294,0.5573403071900325
VZ,Train Set,MAE,0.43185214338631456,0.4295527453493015
VZ,Train Set,R2,0.9491661527224495,0.9532808694545568
VZ,Train Set,MAPE,0.8809497100993565,0.879140372552683
VZ,Test Set,RMSE,0.9316163008079114,0.799699659724857
VZ,Test Set,MAE,0.6773155212402348,0.5880350112915043
VZ,Test Set,R2,0.3323211165510115,0.5080201613900606
VZ,Test Set,MAPE,1.7326205055490633,1.4756842167915336
