Stock,no_scores,only_score,only_score_bert,score_plus_topic_vader,score_bert_plus_topic_bert
AAPL,3.644229313972287,3.28010188772523,5.4858091491183005,4.218264472182873,3.4348089283440446
AMD,4.252581958870613,5.3555882193767275,4.046567970060853,4.106025839271629,3.8887747425906465
AMZN,4.0134464750718095,4.302989606418591,4.897967698164325,4.516917438014384,4.946273654330234
BA,7.144482018696388,6.603720458213908,8.060411132165834,9.64048459364976,6.199559001926519
BX,4.3715835804139225,4.338589852107983,3.509697716501333,4.3049808280182225,3.7121621643319367
COST,11.38841662700473,11.335435086203903,11.681862053766057,12.047905631590279,12.008674503642998
CRM,6.347605789064696,14.049152946346153,6.1756739947875054,7.934053390354717,8.668475132777964
DIS,3.1479837740138423,2.696354948062188,2.8214877385636843,4.086865227309518,3.127629004399887
ENPH,13.282550458520506,14.06333111366837,13.636501556257501,14.831194792678692,13.959641438956291
F,0.7615715194745623,0.6366169370440855,0.6375342035047178,0.8235199037665377,0.64846562840759
GOOG,5.383613417633068,3.7869898903873263,5.560465703693202,3.8797894767153753,9.706821618652725
INTC,0.6140952410567919,2.1961249752200924,0.598103984189986,0.8070861871720381,0.6695322700843644
KO,0.8056953707584908,1.3479893481651666,0.909226362203081,1.059739485803466,0.8255906341725157
META,7.093190088538677,13.897379217901632,8.919688448010701,14.463082657108409,13.641754805634134
MSFT,9.717415566931708,5.933562237537073,7.710314245138319,6.350989733471182,6.179664507179166
NFLX,9.071196584774805,9.052762836308169,9.183459918296972,11.643086801446275,9.940493946015188
NIO,1.1722581090305848,1.2260860022854465,1.2306208763629427,1.4225196835643747,1.5222549349973418
NOC,9.282856549386386,8.434673471737526,8.34601840890131,8.671869285252443,8.396386944000218
PG,2.390879981466799,2.8415946936318885,2.2764394155522427,2.2228759596466405,2.444940400480162
PYPL,3.178041286277462,3.5039884819390936,2.7900390631102368,3.4528562220601464,3.6050065526839874
TSLA,10.903527370541948,8.930088457456195,9.593144883663552,9.113557415426955,10.210455869115481
TSM,2.571558730538147,3.4843977416432432,2.413990812625233,2.877937093875244,3.0197692373617313
VZ,0.7723058464740281,0.7901453604520731,0.8191292968069358,0.7458358697749535,1.0657503039763856
XPEV,3.4163714672639616,2.6115120004071897,1.6268295524049181,3.675067363104761,2.7735789808833116
ZS,13.24220412303092,13.22081029857227,10.049708200845515,10.873379211504702,12.3865724958898
