Modèle,AvecTopic,n_stocks,RMSE_moy,RMSE_med,MAE_moy,R2_moy,MAPE_moy
LSTM,Non,25,6.650601933579736,4.191806383404829,5.278944669723511,-0.3772231554093257,4.504758410607766
CNN-LSTM,Non,25,6.9449804824531896,4.997474127665056,5.682708358764648,-0.8871051832339957,4.738850563359564
LSTM,Oui,25,6.9700281365282395,5.381238776623793,5.632787647247313,-1.403649276148897,5.554854453381295
CNN-LSTM,Oui,25,7.386804983793485,4.869848054939808,5.891148653030395,-1.5789530576536033,5.2484690132950504
CNN,Non,25,8.954155524499733,6.5991602576623505,7.4343721961975096,-1.5565233659426656,5.769041622257302
CNN,Oui,25,9.460612777481984,6.734463364392186,7.710579837799073,-3.627253588823753,7.991247234943952
