Stock,Modèle,AvecTopic,RMSE,MAE,R2,MAPE%
AAPL,CNN,False,5.317355898997212,4.499011993408203,-0.7400625133340923,2.932544574725288
AAPL,CNN,True,4.488432355499598,3.6941177368164064,-0.2398317712484872,2.399552392914324
AAPL,CNN-LSTM,False,3.5032603461748075,2.7669166564941405,0.24470220130452525,1.7894444579957967
AAPL,CNN-LSTM,True,3.3977366168952057,2.629552459716797,0.28951843537324284,1.7048465736155185
AAPL,LSTM,False,4.211903966682743,3.5021392822265627,-0.09176788070505548,2.2808511113607217
AAPL,LSTM,True,3.3449360413840497,2.6410430908203124,0.3114285235206806,1.719290658124181
AMD,CNN,False,5.7158518948169545,5.032942581176758,0.15136044429031126,6.828531085339162
AMD,CNN,True,6.0856631418772835,4.825546646118164,0.037995385987906194,6.394922075517581
AMD,CNN-LSTM,False,5.347268231217029,4.318825531005859,0.25727973088918765,6.053835333630207
AMD,CNN-LSTM,True,5.38864908563599,4.16742172241211,0.24573988661744295,5.8318300921041955
AMD,LSTM,False,4.191806383404829,3.658173751831055,0.5435809467391239,4.985197349992537
AMD,LSTM,True,5.511872779373657,4.526327514648438,0.21084973555288455,6.326906386336992
AMZN,CNN,False,6.5991602576623505,5.243022155761721,-0.03405076503587545,4.282210675895551
AMZN,CNN,True,5.544626724842032,4.515139389038087,0.27002306529234865,3.6029303261198846
AMZN,CNN-LSTM,False,4.997474127665056,4.3168083190918,0.4069850818347349,3.4988986870012964
AMZN,CNN-LSTM,True,4.509175545685978,3.8808017730712927,0.5172094107148142,3.0798667895697416
AMZN,LSTM,False,3.767954018980085,3.2397922515869175,0.6628868460607673,2.58369715295283
AMZN,LSTM,True,5.114495938884773,4.006589126586916,0.37888761928686776,3.165756671401332
BA,CNN,False,4.8208250098309415,4.2535343170166025,0.7907403595927274,2.9311001961679035
BA,CNN,True,5.473337319704238,3.66562843322754,0.7302588724135315,2.6708424571460325
BA,CNN-LSTM,False,4.857556898900232,4.1425415039062505,0.7875393368530952,2.9412029012462693
BA,CNN-LSTM,True,4.133105656000799,3.5526863098144537,0.8461860395069558,2.4658380654410244
BA,LSTM,False,5.70923798572367,4.5722591400146495,0.7065061311307903,3.2852818400455135
BA,LSTM,True,7.582760976694651,6.327757644653321,0.4822769837684673,4.536701693840408
BX,CNN,False,4.820973230877039,3.8951759338378915,0.23777154842023052,4.23281118951747
BX,CNN,True,6.734463364392186,5.722035217285155,-0.4873792036349849,6.1968424269619335
BX,CNN-LSTM,False,5.718726607099108,4.967906188964843,-0.07254219138965645,5.550495243408391
BX,CNN-LSTM,True,4.4446523540853935,3.7154483795166025,0.352124867462687,4.161339324484984
BX,LSTM,False,3.500512597155998,3.0674095153808603,0.5981360901547781,3.438361441380908
BX,LSTM,True,5.183035429787001,4.21628875732422,0.11898344202610078,4.821011734115914
COST,CNN,False,17.28282597612776,13.655802917480463,0.3072115892763221,2.656046931040705
COST,CNN,True,19.885654048310343,15.174520874023443,0.08282784879969152,2.9490000822179017
COST,CNN-LSTM,False,12.157148822835321,10.216975402832025,0.6572049307611296,2.0080537355184678
COST,CNN-LSTM,True,11.412529541346947,9.342732238769532,0.697910987534512,1.8374418446883374
COST,LSTM,False,12.111349534673424,9.976782226562495,0.6597828703309228,1.9575962099311135
COST,LSTM,True,13.075996705798547,11.002459716796869,0.6034292259071838,2.189693800294389
CRM,CNN,False,20.952206965389784,18.448549652099608,-15.128183540148754,12.116383222460666
CRM,CNN,True,18.942016612343906,16.338516998291016,-12.181909711265192,10.817104162194752
CRM,CNN-LSTM,False,15.75640484905025,11.803890228271486,-8.120951966818161,7.884993489155219
CRM,CNN-LSTM,True,24.855266405886525,17.66419677734375,-21.696701767953908,11.82909064302908
CRM,LSTM,False,9.582625630507517,7.704898834228517,-2.373610577352131,5.1274958837025
CRM,LSTM,True,20.00421381894616,14.68072052001953,-13.701744882058986,9.797259898346502
DIS,CNN,False,8.47456936362952,7.854525375366211,-0.8350672343442205,7.258890309770527
DIS,CNN,True,8.10354833400441,6.951431655883789,-0.6779041843632168,6.331210752792934
DIS,CNN-LSTM,False,4.014393592042333,3.0565464019775406,0.5882281961682347,2.7735647092875064
DIS,CNN-LSTM,True,4.4337491998464005,3.622388076782228,0.4977048906422771,3.2816870073907456
DIS,LSTM,False,2.7287946340831493,2.4499900817871065,0.8097352178314193,2.2999681313895177
DIS,LSTM,True,2.937487883011069,2.4338161468505817,0.7795201670859333,2.2428774375305083
